name_of_city,state_name,population,graduates
Dhaulpur,RAJASTHAN,126142,11782
Dhule,MAHARASHTRA,376093,38164
Dibrugarh,ASSAM,138661,20878
Dimapur,NAGALAND,123777,12902
Dinapur Nizamat,BIHAR,182241,19777
Dindigul,TAMIL NADU,207225,23327
Dum Dum,WEST BENGAL,117637,25287
Durg,CHHATTISGARH,268679,38428
Durgapur,WEST BENGAL,566937,80060
Eluru,ANDHRA PRADESH,214414,23523
English Bazar,WEST BENGAL,216083,28983
Erode,TAMIL NADU,156953,19615
Etah,UTTAR PRADESH,118632,21588
Etawah,UTTAR PRADESH,256790,38404
Faizabad,UTTAR PRADESH,167544,30658
Faridabad,HARYANA,1404653,219974
Farrukhabad-cum-Fatehgarh,UTTAR PRADESH,275754,31160
Fatehpur,UTTAR PRADESH,193801,25076
Firozabad,UTTAR PRADESH,603797,36145
Firozpur,PUNJAB,110091,14939
Gadag-Betigeri,KARNATAKA,172813,15926
Gandhidham,GUJARAT,248705,24431
Gandhinagar,GUJARAT,208299,52343
Ganganagar,RAJASTHAN,224773,34347
Gangapur City,RAJASTHAN,119045,9850
Gangawati,KARNATAKA,105354,6927
Gaya,BIHAR,463454,56679
Ghazipur,UTTAR PRADESH,110698,18840
Giridih,JHARKHAND,114447,15112
Godhra,GUJARAT,143126,12053
Gokal Pur,NCT OF DELHI,121938,15993
Gonda,UTTAR PRADESH,114353,17212
Gondal,GUJARAT,112064,10557
Gondiya,MAHARASHTRA,132889,18563
Gorakhpur,UTTAR PRADESH,671048,123723
Greater Hyderabad,ANDHRA PRADESH,6809970,1164149
Greater Mumbai,MAHARASHTRA,12478447,1802371
Greater Noida,UTTAR PRADESH,107676,20791
Gudivada,ANDHRA PRADESH,118289,12523
Gulbarga,KARNATAKA,532031,65039
Guna,MADHYA PRADESH,180978,22104
Guntakal,ANDHRA PRADESH,126479,11626
Guntur,ANDHRA PRADESH,651382,94432
Gurgaon,HARYANA,876824,233817
Guwahati,ASSAM,963429,184065
Gwalior,MADHYA PRADESH,1053505,169264
Habra,WEST BENGAL,149675,13824
Hajipur,BIHAR,147126,16319
Haldia,WEST BENGAL,200762,17487
Haldwani-cum-Kathgodam,UTTARAKHAND,156060,34329
Halisahar,WEST BENGAL,126893,10802
Hanumangarh,RAJASTHAN,151104,16870
Haora,WEST BENGAL,1072161,151490
Hapur,UTTAR PRADESH,262801,28472
Hardoi,UTTAR PRADESH,126890,29166
Hardwar,UTTARAKHAND,225235,38835
Hassan,KARNATAKA,133723,21042
Hastsal,NCT OF DELHI,177033,12901
Hathras,UTTAR PRADESH,137509,18612
Hazaribag,JHARKHAND,142494,28889
Hindaun,RAJASTHAN,105690,7964
Hindupur,ANDHRA PRADESH,151835,11050
Hinganghat,MAHARASHTRA,100416,11256
Hisar,HARYANA,301249,49148
Hoshangabad,MADHYA PRADESH,117956,18980
Hoshiarpur,PUNJAB,168443,26629
Hospet,KARNATAKA,206159,17556
Hosur,TAMIL NADU,116821,15530
Hubli-Dharwad,KARNATAKA,943857,113864
Hugli-Chinsurah,WEST BENGAL,177209,31236
Ichalkaranji,MAHARASHTRA,287570,22644
Imphal,MANIPUR,264986,63915
Indore,MADHYA PRADESH,1960631,313525
Jabalpur,MADHYA PRADESH,1054336,169711
Jagadhri,HARYANA,124915,18738
Jagdalpur,CHHATTISGARH,125345,16223
Jaipur,RAJASTHAN,3073350,533148
Jalandhar,PUNJAB,862196,128924
Jalgaon,MAHARASHTRA,460468,55315
Jalna,MAHARASHTRA,285349,23959
Jalpaiguri,WEST BENGAL,107351,20252
Jamalpur,BIHAR,105221,10638
Jammu,JAMMU & KASHMIR,503690,121564
